id,geom,longitude,latitude,classname,time,img_received,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,isprocessed,mb_serial,mt_serial
38473,0101000020E61000009DDDE3D1022B6040B0C03B877B004240,129.3440942,36.00376978,crack,2024-06-02 22:39:40.655841+00,TRUE,36.003783,129.344166,36.746405,경상북도,포항시 남구,상도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38474,0101000020E6100000376D62E7322B604015F3FBB577004240,129.3499638,36.00365329,crack,2024-06-02 22:40:33.792926+00,TRUE,36.003654,129.350024,38.610241,경상북도,포항시 남구,상도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38475,0101000020E610000056C0D11EAC2B604042009237EF004240,129.3647608,36.00730033,crack,2024-06-02 22:42:20.661249+00,TRUE,36.007333,129.364811,37.544364,경상북도,포항시 남구,대도동,NULL,형산강북로,356,FALSE,NULL,MTPohangPC12
38476,0101000020E610000030F4FB66DD2B6040C329F61681014240,129.3707766,36.011752,banner,2024-06-02 22:43:22.492993+00,TRUE,36.011765,129.370842,36.667981,경상북도,포항시 남구,해도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38477,0101000020E61000007A2EC382EA2B604019609CD8C4014240,129.3723768,36.01381977,crack,2024-06-02 22:46:52.077598+00,TRUE,36.013882,129.372361,33.776576,경상북도,포항시 남구,해도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38478,0101000020E610000019626533EE2B604073678F15E2014240,129.3728272,36.01471204,crack,2024-06-02 22:47:00.136294+00,TRUE,36.014772,129.372808,33.80623,경상북도,포항시 남구,해도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38479,0101000020E610000020F2140AFF2B6040673660BF8C024240,129.3748827,36.01992027,crack,2024-06-02 22:47:45.652424+00,TRUE,36.019983,129.374883,32.879107,경상북도,포항시 남구,해도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38480,0101000020E610000004B94B973D2C604046E125B80A044240,129.3825184,36.03157713,crack,2024-06-02 22:49:32.589171+00,TRUE,36.031637,129.382522,34.082461,경상북도,포항시 남구,송도동,NULL,희망대로,1142,FALSE,NULL,MTPohangPC12
38481,0101000020E610000080AD5F48362C60407752B2AC3C044240,129.3816263,36.03310164,crack,2024-06-02 22:49:49.150179+00,TRUE,36.033154,129.381596,33.121957,경상북도,포항시 남구,송도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38482,0101000020E6100000A8C5FB49FA2B6040D3C39295C3054240,129.3743029,36.04503126,crack,2024-06-02 22:52:07.24707+00,TRUE,36.04497,129.374306,33.440514,경상북도,포항시 남구,송도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38483,0101000020E610000090400F90DD2B60407FF551269B054240,129.3707962,36.04379729,banner,2024-06-02 22:54:24.217066+00,TRUE,36.043904,129.370873,32.269242,경상북도,포항시 북구,동빈1가,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38484,0101000020E610000023371BCEE92B6040C1D7BD227D064240,129.3722907,36.05069384,crack,2024-06-02 22:56:12.292023+00,TRUE,36.05075,129.372312,32.937723,경상북도,포항시 북구,항구동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38485,0101000020E61000000641CBB5F42B60404B514FB6A0064240,129.3736218,36.05177955,crack,2024-06-02 22:56:29.092965+00,TRUE,36.051803,129.373677,32.936547,경상북도,포항시 북구,항구동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38486,0101000020E610000024C80FB1FE2B6040A1AD8113AD064240,129.3748403,36.05215687,crack,2024-06-02 22:56:57.810049+00,TRUE,36.052168,129.3749,33.410287,경상북도,포항시 북구,항구동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38487,0101000020E6100000F09EE51A132C60403CB84C2808074240,129.3773322,36.05493644,trash,2024-06-02 22:58:24.553694+00,TRUE,36.055005,129.377371,34.382684,경상북도,포항시 북구,항구동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38488,0101000020E6100000F49AF38E142C6040649DCB7218074240,129.3775096,36.05543361,crack,2024-06-02 22:58:36.927338+00,TRUE,36.055495,129.377516,34.416723,경상북도,포항시 북구,항구동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38489,0101000020E61000008D6434E74F2C60402F9E6D2B3C084240,129.3847538,36.06433623,banner,2024-06-02 23:01:58.414861+00,TRUE,36.064387,129.384846,32.942745,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38490,0101000020E6100000CDD4D1E3652C60403AAB5A0D35084240,129.3874377,36.06411902,banner,2024-06-02 23:02:27.496624+00,TRUE,36.064046,129.387433,32.385914,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38491,0101000020E6100000E54BFA407E2C604016FB1BE90C084240,129.3904118,36.062894,crack,2024-06-02 23:03:00.196816+00,TRUE,36.062914,129.39047,32.61671,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38492,0101000020E6100000945D8EA5822C6040C76D376A11084240,129.3909481,36.06303146,crack,2024-06-02 23:03:04.676607+00,TRUE,36.063041,129.391009,32.562613,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38493,0101000020E6100000DC417A79872C60403E81302316084240,129.3915374,36.06317558,crack,2024-06-02 23:03:08.614503+00,TRUE,36.063179,129.391598,32.58602,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38494,0101000020E6100000B8AF7B028C2C60407568FD011C084240,129.392091,36.06335473,banner,2024-06-02 23:03:13.157943+00,TRUE,36.063315,129.392186,32.861321,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38495,0101000020E6100000385446498C2C60404F3AADF91A084240,129.3921248,36.06332322,crack,2024-06-02 23:03:13.319792+00,TRUE,36.063315,129.392186,32.861321,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38496,0101000020E610000022B959919C2C604074AABC7A1A084240,129.3941123,36.06330809,crack,2024-06-02 23:03:30.087801+00,TRUE,36.063288,129.394171,33.697967,경상북도,포항시 북구,두호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
38497,0101000020E6100000D6748CD4C12C60405840487E5D084240,129.3986609,36.06535319,crack,2024-06-02 23:04:11.291646+00,TRUE,36.06538,129.398716,33.240183,경상북도,포항시 북구,환호동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC12
