id,geom,longitude,latitude,classname,time,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,status,gu
38487,0101000020E6100000F09EE51A132C60403CB84C2808074240,129.3773322,36.05493644,trash,2024-06-02 22:58:24,36.055005,129.377371,34.382684,경상북도,포항시 북구,항구동,,,,0,북구
38516,0101000020E61000003681973B032C6040EE2EFA07D4064240,129.3753946,36.05334568,trash,2024-06-02 23:17:28,36.05336,129.37529,36.507775,경상북도,포항시 북구,항구동,,,,0,북구
38519,0101000020E610000045FBE251E22B6040493707FD65064240,129.3713769,36.04998744,trash,2024-06-02 23:22:15,36.049877,129.371321,37.055517,경상북도,포항시 북구,학산동,,,,2,북구
38521,0101000020E6100000178020D4B12B6040DAD3B7FA70044240,129.3654576,36.03469786,trash,2024-06-02 23:31:32,36.034634,129.365423,38.727401,경상북도,포항시 북구,죽도동,,,,2,북구
38525,0101000020E61000009D3D5208C52B604070F83BD572014240,129.3678018,36.01131692,trash,2024-06-02 23:42:43,36.01136,129.367711,37.681796,경상북도,포항시 남구,해도동,,,,2,남구
38530,0101000020E61000000472FCD61E2B6040AC0E663755024240,129.3475146,36.0182256,trash,2024-06-02 23:50:45,36.018236,129.347596,41.411109,경상북도,포항시 남구,대잠동,,,,1,남구
38534,0101000020E6100000B475920C7B2B6040D4801EF614044240,129.3587706,36.03188969,trash,2024-06-02 23:55:57,36.03202,129.358745,38.315626,경상북도,포항시 북구,용흥동,,용당로,42.0,1,북구
38535,0101000020E610000074BFC5D47C2B60407835720027044240,129.3589882,36.03244024,trash,2024-06-02 23:56:01,36.032485,129.359074,37.934368,경상북도,포항시 북구,용흥동,,,,0,북구
38538,0101000020E610000040167FCCAD2B60406CF89EDD04044240,129.3649657,36.03139849,trash,2024-06-02 23:57:49,36.031342,129.364849,37.280777,경상북도,포항시 북구,죽도동,,,,0,북구
38547,0101000020E6100000B558FB8BA92B60405C474A4ECE014240,129.3644466,36.01410845,trash,2024-06-03 00:10:16,36.014126,129.364513,34.931447,경상북도,포항시 남구,대도동,,,,2,남구
38554,0101000020E6100000CD1642109D2B6040D951B962A2024240,129.3629228,36.02058062,trash,2024-06-03 00:31:35,36.020573,129.362866,35.218277,경상북도,포항시 남구,대도동,,,,2,남구
38556,0101000020E6100000E8C5282F852B604058A9EDF326024240,129.3600078,36.01681375,trash,2024-06-03 00:33:10,36.016799,129.359952,35.95491,경상북도,포항시 남구,대도동,,,,2,남구
38557,0101000020E6100000ACD8922A812B604052F89CCC11024240,129.3595174,36.01616819,trash,2024-06-03 00:33:23,36.016155,129.35944,35.664186,경상북도,포항시 남구,상도동,,,,0,남구
38566,0101000020E6100000AD5D1B9D432B6040B252125DFC024240,129.3520036,36.02332652,trash,2024-06-03 00:41:49,36.023252,129.35206,34.05983,경상북도,포항시 북구,죽도동,,새천년대로,550.0,1,북구
38577,0101000020E61000009219A6275B2B60408AA089D7BD024240,129.3548773,36.02141852,trash,2024-06-03 00:46:08,36.021474,129.354856,34.589097,경상북도,포항시 북구,죽도동,,포스코대로,277.0,2,북구
38581,0101000020E610000062C3A7265A2B60400C62828DF3024240,129.3547548,36.02305764,trash,2024-06-03 00:52:08,36.02315,129.354711,35.75915,경상북도,포항시 북구,죽도동,,,,2,북구
38594,0101000020E6100000F7D9CB4F282B60404BE21A2E96034240,129.3486709,36.02802063,trash,2024-06-03 01:16:17,36.028043,129.348552,43.364981,경상북도,포항시 북구,학잠동,,,,0,북구
38604,0101000020E6100000EC24F098022B6040E04A5EB232044240,129.3440671,36.03279714,trash,2024-06-03 01:19:25,36.03276,129.34417,53.647152,경상북도,포항시 북구,학잠동,,,,1,북구
38610,0101000020E610000023CCDDDEFA2A60408B84300545044240,129.3431238,36.03335633,trash,2024-06-03 01:26:19,36.033346,129.342997,54.94641,경상북도,포항시 북구,학잠동,,양학로,128.0,2,북구
38613,0101000020E6100000029A34FB002B6040068059A119044240,129.3438698,36.03203217,trash,2024-06-03 01:30:29,36.03205,129.343762,52.535747,경상북도,포항시 북구,학잠동,,양학로,110.0,1,북구
38616,0101000020E61000004BEAE403E82A6040BAAA43F927044240,129.3408222,36.0324699,trash,2024-06-03 01:32:53,36.032387,129.340768,72.782693,경상북도,포항시 북구,득량동,,,,0,북구
38620,0101000020E61000003752D92CE82A60403DB080B262034240,129.3408417,36.0264495,trash,2024-06-03 01:36:24,36.02633,129.340829,76.598431,경상북도,포항시 남구,이동,,,,2,남구
38630,0101000020E6100000D68E3FEEDE2A60403479772EB0034240,129.3397132,36.02881413,trash,2024-06-03 01:44:28,36.028895,129.339744,79.54955,경상북도,포항시 남구,이동,,,,1,남구
38647,0101000020E61000004ACDFC6FE82A604031567451C4014240,129.3408737,36.01380366,trash,2024-06-03 02:11:38,36.013884,129.340922,39.783401,경상북도,포항시 남구,대잠동,,희망대로,614.0,1,남구
38650,0101000020E6100000DA9C0071E92A6040F94C929A9E024240,129.3409963,36.0204652,trash,2024-06-03 02:14:41,36.020492,129.341044,46.558976,경상북도,포항시 남구,대잠동,,,,2,남구
38679,0101000020E610000077205D8B332C6040FE38D68091084240,129.381292,36.06694041,trash,2024-06-03 23:11:09,36.06703,129.381297,37.101562,경상북도,포항시 북구,두호동,,,,1,북구
38681,0101000020E6100000B416327E432C604057D2464B93084240,129.3832389,36.06699506,trash,2024-06-03 23:13:30,36.066929,129.383235,27.788632,경상북도,포항시 북구,두호동,,,,0,북구
38693,0101000020E61000009D180BF0C52C60408486BD7DED084240,129.3991623,36.06974766,trash,2024-06-03 23:28:02,36.069725,129.399207,34.88864,경상북도,포항시 북구,환호동,,,,0,북구
38698,0101000020E61000005CB21F93522C6040B442455E41084240,129.3850799,36.06449488,trash,2024-06-03 23:32:19,36.064492,129.384964,34.182015,경상북도,포항시 북구,두호동,,,,2,북구
38700,0101000020E6100000992433301D2C604042CD76266B074240,129.378563,36.05795747,trash,2024-06-03 23:36:49,36.057899,129.378477,34.911146,경상북도,포항시 북구,두호동,,,,2,북구
38703,0101000020E6100000CEE3B5980F2C6040738C06BBB6064240,129.3769039,36.05245149,trash,2024-06-03 23:38:23,36.052503,129.376796,34.778328,경상북도,포항시 북구,항구동,,,,2,북구
38707,0101000020E6100000A532275AC82B6040F0947F8347064240,129.3682071,36.04905742,trash,2024-06-03 23:42:00,36.04898,129.368173,34.380949,경상북도,포항시 북구,대신동,,,,0,북구
38714,0101000020E6100000CE564967D52B6040808128B683064240,129.3698002,36.05089452,trash,2024-06-03 23:48:29,36.050857,129.369876,36.071631,경상북도,포항시 북구,학산동,,,,0,북구
38717,0101000020E6100000B87B641DDE2B6040395C200481064240,129.3708636,36.05081226,trash,2024-06-03 23:57:22,36.050904,129.370834,36.160599,경상북도,포항시 북구,학산동,,,,2,북구
38727,0101000020E61000004F955519242C6040F4004996A7044240,129.3794066,36.03636435,trash,2024-06-04 00:12:33,36.036278,129.379388,36.034231,경상북도,포항시 남구,송도동,,,,1,남구
38733,0101000020E610000075B44DA1212C6040265ED4455B044240,129.3791052,36.03403542,trash,2024-06-04 00:15:06,36.034042,129.379035,35.712234,경상북도,포항시 남구,송도동,,,,0,남구
38738,0101000020E61000001313B530272C60400F58E82568044240,129.379784,36.03442835,trash,2024-06-04 00:19:19,36.034373,129.379691,34.397228,경상북도,포항시 남구,송도동,,,,0,남구
38739,0101000020E61000005D1D81FC182C604050F462B74F044240,129.3780501,36.03368275,trash,2024-06-04 00:19:44,36.033697,129.377981,34.042288,경상북도,포항시 남구,송도동,,,,1,남구
38740,0101000020E6100000328275930F2C60405D95A2E548044240,129.3769014,36.03347464,trash,2024-06-04 00:19:57,36.033414,129.376871,34.343511,경상북도,포항시 남구,송도동,,,,1,남구
38742,0101000020E6100000EEC31952F82B60400FCCA0C24D044240,129.3740626,36.03362305,trash,2024-06-04 00:20:34,36.033672,129.373969,35.592002,경상북도,포항시 남구,송도동,,,,0,남구
38748,0101000020E61000008204EF9CD02B60400C213CD015044240,129.3692155,36.03191569,trash,2024-06-04 00:22:05,36.031954,129.369217,34.059398,경상북도,포항시 북구,죽도동,,죽도로68번길,20.0,1,북구
38760,0101000020E61000009714DCF2D32B6040E10E0EF70A044240,129.3696226,36.03158463,trash,2024-06-04 00:27:54,36.031681,129.369581,36.65959,경상북도,포항시 북구,죽도동,,,,2,북구
38761,0101000020E6100000EBA0A26ACB2B604088F37E0925044240,129.3685811,36.03238028,trash,2024-06-04 00:28:27,36.032313,129.368577,36.304624,경상북도,포항시 북구,죽도동,,,,0,북구
38765,0101000020E6100000232DA89DBD2B60407C6062A427044240,129.3668965,36.03245978,trash,2024-06-04 00:41:11,36.032515,129.366935,37.770548,경상북도,포항시 북구,죽도동,,죽도로,62.0,0,북구
38775,0101000020E610000036326FE7FD2B6040F9D4CB81AE034240,129.3747441,36.02876303,trash,2024-06-04 00:47:53,36.028835,129.374758,36.27096,경상북도,포항시 남구,해도동,,,,1,남구
38777,0101000020E6100000F8396158FC2B604086425194BF034240,129.3745539,36.02928404,trash,2024-06-04 00:48:27,36.029324,129.374433,36.186446,경상북도,포항시 남구,송도동,,,,0,남구
38788,0101000020E6100000E4D919D6FC2B6040CE7DBFF7E1034240,129.3746138,36.03033349,trash,2024-06-04 01:16:40,36.030406,129.374629,33.005634,경상북도,포항시 남구,송도동,,축항로,55.0,2,남구
38789,0101000020E610000047EFA2DDFA2B6040AC4F5A850D044240,129.3743733,36.03166263,trash,2024-06-04 01:17:13,36.031739,129.374331,33.792671,경상북도,포항시 남구,송도동,,,,0,남구
38791,0101000020E6100000898498CFFB2B60408A67DD17F7034240,129.3744886,36.03097819,trash,2024-06-04 01:19:11,36.031054,129.374504,33.658166,경상북도,포항시 남구,송도동,,,,2,남구
38797,0101000020E6100000DA749D32AA2B604066D350078B054240,129.3645261,36.04330532,trash,2024-06-04 01:35:22,36.043361,129.364565,38.826552,경상북도,포항시 북구,덕수동,,,,2,북구
38805,0101000020E61000001DE0A2DDAA2B604063ACC85363054240,129.3646076,36.04209373,trash,2024-06-04 01:43:40,36.042057,129.364555,38.605502,경상북도,포항시 북구,덕산동,,,,2,북구
38811,0101000020E610000096A1841A982B6040A700179144054240,129.3623173,36.04115499,trash,2024-06-04 01:52:04,36.041214,129.362418,41.358471,경상북도,포항시 북구,신흥동,,,,0,북구
38816,0101000020E6100000C47C786E9E2B604029601FAA3E054240,129.3630898,36.04097487,trash,2024-06-04 01:58:45,36.04104,129.363077,37.160069,경상북도,포항시 북구,신흥동,,,,2,북구
38820,0101000020E61000004C471798752B60403354536071054240,129.3581047,36.04252247,trash,2024-06-04 02:01:26,36.042492,129.358142,39.290662,경상북도,포항시 북구,용흥동,,,,1,북구
38826,0101000020E6100000FF2B96A57F2B6040DC7394E510054240,129.3593319,36.03957815,trash,2024-06-04 02:02:42,36.039464,129.359293,40.229425,경상북도,포항시 북구,용흥동,,,,2,북구
38831,0101000020E6100000C6FF206F372B604082826FF6A5054240,129.3505169,36.04412728,trash,2024-06-04 02:08:55,36.044238,129.350579,75.071594,경상북도,포항시 북구,용흥동,,,,1,북구
38832,0101000020E6100000E7C686B9392B604067088FA3C0054240,129.3507965,36.04494137,trash,2024-06-04 02:09:09,36.044975,129.350897,85.870457,경상북도,포항시 북구,용흥동,,,,0,북구
38846,0101000020E61000005D0583323E2B60401F9AFF3732054240,129.3513424,36.04059505,trash,2024-06-04 02:17:05,36.0405,129.351409,45.041956,경상북도,포항시 북구,용흥동,,,,2,북구
38863,0101000020E6100000DA4A6BE97D2A604021F28136DD004240,129.3278701,36.00675088,trash,2024-06-04 02:27:35,36.00686,129.3279,37.315245,경상북도,포항시 남구,효자동,,,,0,남구
38900,0101000020E610000058CA94D18D2A60405E770D3011014240,129.3298119,36.00833703,trash,2024-06-12 01:23:04,36.008324,129.329926,38.262665,경상북도,포항시 남구,효자동,,지곡로,20.0,0,남구
38903,0101000020E61000003974D218612A60407EA8C647B0004240,129.3243527,36.00537965,trash,2024-06-12 01:25:18,36.005344,129.324432,37.861046,경상북도,포항시 남구,효자동,,,,1,남구
38910,0101000020E6100000B01A3A86B52A6040E8A51B65EB004240,129.3346587,36.00718368,trash,2024-06-12 01:27:31,36.007103,129.334625,37.752163,경상북도,포항시 남구,효자동,,,,2,남구
38913,0101000020E61000006B0227F5C72A6040A4231811A7004240,129.3369089,36.00509847,trash,2024-06-12 01:29:04,36.005062,129.337036,38.992249,경상북도,포항시 남구,효자동,,,,0,남구
38915,0101000020E6100000C405ABF2DB2A6040047CDD28B3004240,129.3393491,36.00546752,trash,2024-06-12 01:29:58,36.005501,129.339386,38.386295,경상북도,포항시 남구,효자동,,,,0,남구
38919,0101000020E610000081953403D02A6040CF99AC8ECA004240,129.3378922,36.00618156,trash,2024-06-12 01:36:57,36.006241,129.337967,38.422489,경상북도,포항시 남구,효자동,,효성로,38.0,1,남구
38934,0101000020E610000071E6060DC3296040CB57329305014240,129.3050599,36.00798264,trash,2024-06-12 01:54:58,36.008068,129.304977,38.918079,경상북도,포항시 남구,연일읍,자명리,,,0,남구
38966,0101000020E6100000D4C0B883AC2B60402997C951F1004240,129.3648089,36.00736449,trash,2024-06-13 08:06:09,36.00737,129.364868,35.720966,경상북도,포항시 남구,대도동,,형산강북로,356.0,2,남구
38992,0101000020E610000043963E70302C60409F40F0AC59044240,129.3809129,36.03398668,trash,2024-06-13 08:14:31,36.034054,129.380936,33.567951,경상북도,포항시 남구,송도동,,,,1,남구
38996,0101000020E61000003AE44038F72B6040ED7FCD6C84054240,129.3739282,36.04310379,trash,2024-06-13 08:17:19,36.043011,129.373856,32.06377,경상북도,포항시 남구,송도동,,,,2,남구
39013,0101000020E6100000EB857AF4122C604004407AF0C4064240,129.3773138,36.05288511,trash,2024-06-13 08:22:58,36.052937,129.377365,32.931458,경상북도,포항시 북구,항구동,,,,2,북구
39021,0101000020E6100000221EB0F9252C6040531AD9C89F074240,129.3796357,36.05956374,trash,2024-06-13 08:24:09,36.059662,129.379578,33.243309,경상북도,포항시 북구,두호동,,,,2,북구
